                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8602,                 5.7411,                 6.4298,                 1.4409,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.2492,                 4.7834,                 7.0713,                  1.896,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.6702,                 5.2731,                 5.9899,                 1.2987,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.337,                 3.5807,                 5.7915,                 1.3363,             0.00021564,             0.00021564,             0.00021564
                      3,                 2.7572,                 3.3653,                 3.2607,                 1.0148,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4521,                 2.7907,                   4.71,                0.98952,             0.00032654,             0.00032654,             0.00032654
                      4,                 2.4573,                 2.8199,                 2.4197,                0.95246,                0.00091,                0.03448,                0.00052,                0.00013,                0.00682,                0.25862,                0.00522,                0.00142,                 2.3378,                 2.4436,                 4.4064,                0.93762,             0.00043268,             0.00043268,             0.00043268
                      5,                 2.1761,                 2.3469,                 2.0603,                0.89932,                0.00561,                0.21264,                0.00511,                0.00114,                0.00818,                0.31034,                0.00749,                 0.0024,                 2.0597,                 2.1952,                 4.0439,                0.87197,             0.00053406,             0.00053406,             0.00053406
                      6,                 2.0898,                 2.2188,                 1.9331,                0.87759,                0.01242,                0.47126,                0.01168,                0.00299,                0.01576,                 0.5977,                0.01575,                 0.0061,                 1.8938,                 2.0461,                   3.84,                0.84255,              0.0006307,              0.0006307,              0.0006307
                      7,                 2.0676,                 2.1011,                 1.7708,                0.86211,                0.01364,                0.51724,                0.01682,                0.00548,                0.01545,                0.58621,                0.01711,                0.00575,                 1.8131,                 1.9649,                 3.6886,                0.83231,             0.00072258,             0.00072258,             0.00072258
                      8,                 2.1639,                 2.1101,                  1.754,                0.87923,                0.01924,                0.72989,                0.02806,                0.01293,                0.01545,                0.58621,                0.01897,                0.00624,                 1.7902,                 2.6394,                 3.6443,                0.83013,             0.00080972,             0.00080972,             0.00080972
                      9,                 1.9127,                  1.893,                  1.572,                 0.8707,                0.02227,                0.84483,                0.03181,                0.01505,                0.02258,                0.85632,                0.03182,                 0.0133,                 1.8325,                 1.8013,                 3.3084,                0.84634,              0.0008921,              0.0008921,              0.0008921
                     10,                 1.9022,                 1.8092,                 1.5121,                0.85184,                0.02197,                0.83333,                0.23243,                0.13778,                0.02076,                0.78736,                0.16784,                0.05871,                 1.6711,                 1.7957,                 3.2098,                  0.832,             0.00096972,             0.00096972,             0.00096972
                     11,                 1.7663,                 1.7304,                 1.4185,                0.83233,                0.02364,                0.89655,                0.66184,                0.32928,                0.02439,                0.92529,                   0.56,                0.23156,                 1.7593,                 1.6953,                 2.8718,                 0.8438,              0.0010426,              0.0010426,              0.0010426
                     12,                 1.8219,                 1.8013,                 1.4335,                0.83023,                0.02379,                 0.9023,                0.71091,                0.35563,                0.02409,                0.91379,                0.55867,                 0.1768,                 1.7528,                 1.7953,                 2.7249,                0.84852,              0.0011107,              0.0011107,              0.0011107
                     13,                 1.8244,                 1.7268,                 1.3788,                0.85167,                0.93274,                 0.6376,                0.76803,                0.36145,                0.87389,                0.59737,                 0.7076,                0.30381,                 1.8246,                  1.597,                 2.5196,                0.86139,              0.0011741,              0.0011741,              0.0011741
                     14,                   1.81,                 1.6477,                 1.3198,                0.83907,                 0.9318,                0.33333,                0.74714,                0.32775,                0.78721,                0.28161,                0.58574,                0.19072,                 1.7899,                 1.5774,                  2.225,                0.82917,              0.0012327,              0.0012327,              0.0012327
                     15,                 1.8048,                 1.5958,                 1.3196,                0.83323,                0.96041,                0.41829,                 0.8114,                0.38974,                0.80206,                0.34933,                0.64916,                0.23046,                 1.6587,                 1.5704,                 2.0732,                0.82339,              0.0012866,              0.0012866,              0.0012866
                     16,                 1.6659,                 1.4859,                 1.2257,                0.83641,                0.92619,                 0.5048,                0.83967,                0.44546,                 0.8102,                0.44159,                0.70855,                0.25944,                   1.58,                 1.5098,                 1.8913,                0.82259,              0.0013357,              0.0013357,              0.0013357
                     17,                 1.6667,                  1.461,                 1.2212,                0.83656,                 0.8762,                0.72989,                0.84353,                0.42311,                0.75912,                0.63392,                0.68242,                0.24429,                 1.6713,                 1.6189,                 1.6141,                0.82667,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.5818,                  1.489,                 1.2135,                0.83939,                0.86192,                0.77586,                0.86551,                0.47365,                0.72146,                0.64943,                0.67361,                0.23718,                 1.4531,                 1.5324,                 1.5531,                0.81391,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.6797,                 1.5341,                 1.1915,                0.84163,                0.84688,                0.79465,                0.86275,                0.47822,                0.66928,                0.65131,                0.58491,                 0.1779,                 1.4816,                  1.663,                 1.4568,                0.81648,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.5746,                 1.4948,                 1.1226,                0.82473,                0.86639,                0.86207,                0.91773,                0.47851,                0.72023,                0.72495,                0.71898,                0.24798,                 1.5958,                 1.5034,                0.99811,                0.82394,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.6584,                 1.5494,                 1.1432,                0.82676,                0.88318,                0.86207,                0.92449,                0.49483,                 0.7361,                0.77586,                0.75435,                0.26716,                 1.4769,                 1.3187,                0.96897,                0.81134,              0.0012476,              0.0012476,              0.0012476
                     22,                  1.575,                 1.4279,                 1.0973,                0.82882,                0.88562,                0.81609,                0.90936,                 0.5021,                0.64035,                0.72989,                0.62345,                0.19499,                 1.4379,                 1.7484,                0.95562,                0.80607,               0.001208,               0.001208,               0.001208
                     23,                 1.5787,                 1.5207,                 1.0698,                0.81762,                0.89966,                0.82447,                0.90535,                0.50163,                0.68243,                0.76572,                  0.681,                0.21625,                 1.4561,                 1.4664,                0.88523,                 0.8089,              0.0011684,              0.0011684,              0.0011684
                     24,                  1.537,                 1.5023,                 1.0313,                0.82267,                0.87968,                0.84037,                0.91135,                0.49182,                0.68551,                0.67816,                0.64922,                0.24885,                 1.4749,                 1.3706,                0.89499,                0.80981,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.5037,                 1.3743,                 1.0675,                0.83317,                0.90045,                0.83175,                0.90983,                0.49554,                0.69828,                0.77011,                0.73664,                0.25656,                  1.486,                 1.4495,                0.93957,                0.81016,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.5397,                 1.3841,                 1.0512,                0.81487,                0.90521,                0.87812,                0.92481,                0.52602,                0.67017,                0.73566,                0.68283,                0.21882,                 1.3841,                 1.2954,                0.83901,                0.80501,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.5085,                 1.3336,                 1.0135,                0.81831,                0.89825,                0.86247,                0.92878,                0.53303,                0.70567,                0.72989,                0.71591,                0.22957,                 1.3697,                 1.3628,                0.78898,                0.80309,                0.00101,                0.00101,                0.00101
                     28,                 1.6207,                 1.3548,                 1.0637,                0.82239,                0.87361,                0.85632,                0.93202,                0.49964,                0.66463,                0.72989,                0.71762,                0.25887,                  1.443,                 1.4293,                 0.8339,                0.80828,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.5309,                  1.454,                0.98683,                0.82266,                0.88249,                0.86321,                0.93048,                0.53181,                0.67195,                0.73563,                0.70862,                0.28265,                 1.3536,                  1.378,                0.81633,                0.80387,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.4215,                 1.2995,                0.92994,                0.82115,                0.91364,                0.86207,                0.92116,                0.54517,                0.73164,                0.73642,                0.73117,                0.27682,                 1.3527,                 1.4152,                0.79541,                0.80472,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.4651,                 1.4207,                0.96532,                0.80789,                 0.9316,                0.86107,                0.93651,                0.53515,                0.71696,                0.75287,                0.71869,                0.24541,                 1.3636,                 1.4525,                0.79464,                0.80775,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.4564,                 1.3351,                  0.923,                0.80825,                0.95122,                0.84483,                0.93634,                0.52853,                0.70563,                 0.7069,                0.67515,                0.23116,                 1.3997,                 1.4223,                0.78559,                0.80608,               0.000812,               0.000812,               0.000812
                     33,                 1.3853,                 1.1941,                0.86603,                0.81812,                0.93716,                0.85704,                0.94832,                0.51647,                0.69938,                0.70863,                0.68134,                0.23294,                 1.4459,                 1.5686,                0.79705,                0.81104,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.4603,                 1.2793,                0.92615,                0.81046,                0.96268,                 0.8908,                 0.9572,                0.53642,                 0.7319,                0.73741,                0.72098,                0.23407,                 1.4011,                 1.4333,                 0.7764,                0.80827,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.3837,                 1.2751,                0.89483,                0.81225,                0.96294,                0.89655,                 0.9513,                0.54884,                0.78393,                0.72989,                0.75514,                0.23639,                 1.3478,                 1.3169,                0.74783,                0.80548,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.4023,                 1.2442,                0.87908,                0.82239,                0.93279,                0.90805,                 0.9603,                0.53916,                0.75123,                0.73563,                0.73967,                0.26259,                 1.3766,                  1.377,                0.74957,                0.80768,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.3407,                 1.3141,                0.83831,                0.81528,                0.93333,                0.90805,                0.95779,                0.53732,                0.76015,                 0.7468,                0.75243,                0.26337,                 1.3844,                 1.4786,                0.75014,                0.80836,               0.000614,               0.000614,               0.000614
                     38,                 1.3865,                 1.2486,                0.88098,                0.80875,                0.97181,                 0.8908,                0.95664,                0.52355,                0.70219,                0.65044,                 0.6499,                0.20637,                 1.4202,                 1.4293,                0.77873,                0.80528,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.4052,                 1.2629,                  0.878,                0.81324,                0.96316,                 0.9023,                0.95677,                0.53218,                0.74828,                0.70115,                 0.6994,                0.21346,                 1.3954,                 1.3322,                0.76949,                0.80368,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.4896,                 1.4042,                0.86306,                0.81456,                0.95542,                0.89655,                0.94843,                0.55797,                0.76326,                0.72414,                0.72146,                0.24448,                 1.3155,                 1.4329,                0.75589,                0.80351,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.4601,                 1.2121,                 1.0791,                0.81624,                0.93862,                0.89655,                0.95524,                0.54847,                0.74423,                0.77011,                0.74685,                0.25175,                 1.3269,                 1.5107,                0.76079,                0.80731,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.4444,                 1.2144,                 1.1079,                0.82171,                0.94036,                0.90617,                0.95968,                0.51482,                0.79242,                0.77011,                0.77265,                0.24535,                 1.4418,                 1.5157,                0.80467,                0.81478,               0.000416,               0.000416,               0.000416
                     43,                 1.4429,                 1.1992,                 1.1189,                0.80812,                0.92576,                0.89655,                0.95229,                0.51785,                0.78219,                0.75862,                0.76205,                 0.2533,                 1.4049,                 1.3787,                0.80366,                0.81122,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.3847,                 1.0839,                 1.0744,                0.81359,                 0.9011,                0.89655,                0.93897,                 0.5498,                0.71634,                0.74138,                0.69653,                0.24111,                 1.3158,                 1.2968,                0.75939,                 0.8025,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.3565,                 1.2289,                 1.1366,                0.80215,                0.90158,                0.89655,                0.94364,                0.54358,                0.71602,                0.71264,                 0.6908,                 0.2365,                 1.3256,                 1.3024,                0.75935,                0.80207,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.3608,                 1.2548,                  1.075,                0.80525,                0.91881,                 0.8908,                 0.9461,                0.54227,                0.71607,                 0.6954,                0.66604,                0.21434,                 1.3486,                 1.3294,                 0.7477,                0.80472,              0.0002576,              0.0002576,              0.0002576
                     47,                   1.33,                 1.1885,                 1.0194,                0.81835,                0.91774,                 0.8908,                 0.9391,                0.54225,                0.73955,                0.71839,                0.69238,                0.22532,                 1.3649,                 1.3427,                0.74112,                0.80629,               0.000218,               0.000218,               0.000218
                     48,                 1.3534,                 1.1645,                 1.0188,                 0.8067,                0.93569,                0.89655,                0.94281,                  0.537,                0.76221,                0.72989,                0.71092,                0.24317,                 1.3645,                 1.3932,                0.72326,                0.80668,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.3503,                 1.2739,                 1.1048,                0.80748,                0.94146,                 0.9023,                 0.9468,                0.54184,                0.76967,                0.73563,                 0.7289,                0.24941,                 1.3497,                   1.38,                0.71289,                0.80604,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.2773,                 1.1561,                0.99262,                0.80855,                0.93243,                0.89655,                0.94444,                0.55262,                0.76677,                0.73563,                0.73807,                0.24933,                 1.3223,                 1.3545,                0.71002,                 0.8045,               9.92e-05,               9.92e-05,               9.92e-05
